codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017010,Bagolino,2019,Es. Extra-Alberghieri,Italiani,6297,26255,4.20,osservato
017010,Bagolino,2019,Es. Extra-Alberghieri,Stranieri,1377,7739,5.60,osservato
017010,Bagolino,2019,Es. Extra-Alberghieri,Totale,7674,33994,4.40,osservato
017010,Bagolino,2019,Totale,Italiani,7434,28502,3.80,osservato
017010,Bagolino,2019,Totale,Stranieri,1876,8675,4.60,osservato
017010,Bagolino,2019,Totale,Totale,9310,37177,4.00,osservato
017010,Bagolino,2020,Es. Alberghieri,Italiani,280,693,2.50,osservato
017010,Bagolino,2020,Es. Alberghieri,Stranieri,92,121,1.30,osservato
017010,Bagolino,2020,Es. Alberghieri,Totale,372,814,2.20,osservato
017010,Bagolino,2020,Es. Extra-Alberghieri,Italiani,5121,20949,4.10,osservato
017010,Bagolino,2020,Es. Extra-Alberghieri,Stranieri,730,3109,4.30,osservato
017010,Bagolino,2020,Es. Extra-Alberghieri,Totale,5851,24058,4.10,osservato
017010,Bagolino,2020,Totale,Italiani,5401,21642,4.00,osservato
017010,Bagolino,2020,Totale,Stranieri,822,3230,3.90,osservato
017010,Bagolino,2020,Totale,Totale,6223,24872,4.00,osservato
017010,Bagolino,2021,Es. Alberghieri,Italiani,310,874,2.80,osservato
017010,Bagolino,2021,Es. Alberghieri,Stranieri,160,240,1.50,osservato
017010,Bagolino,2021,Es. Alberghieri,Totale,470,1114,2.40,osservato
017010,Bagolino,2021,Es. Extra-Alberghieri,Italiani,4421,20394,4.60,osservato
017010,Bagolino,2021,Es. Extra-Alberghieri,Stranieri,1624,7298,4.50,osservato
017010,Bagolino,2021,Es. Extra-Alberghieri,Totale,6045,27692,4.60,osservato
017010,Bagolino,2021,Totale,Italiani,4731,21268,4.50,osservato
017010,Bagolino,2021,Totale,Stranieri,1784,7538,4.20,osservato
017010,Bagolino,2021,Totale,Totale,6515,28806,4.40,osservato
017010,Bagolino,2022,Es. Alberghieri,Italiani,,,,riservato
017010,Bagolino,2022,Es. Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2022,Es. Alberghieri,Totale,,,,riservato
017010,Bagolino,2022,Es. Extra-Alberghieri,Italiani,,,,riservato
017010,Bagolino,2022,Es. Extra-Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2022,Es. Extra-Alberghieri,Totale,,,,riservato
017010,Bagolino,2022,Totale,Italiani,5655,24942,4.40,osservato
017010,Bagolino,2022,Totale,Stranieri,2267,10669,4.70,osservato
017010,Bagolino,2022,Totale,Totale,7922,35611,4.50,osservato
017010,Bagolino,2023,Es. Alberghieri,Italiani,,,,riservato
017010,Bagolino,2023,Es. Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2023,Es. Alberghieri,Totale,,,,riservato
017010,Bagolino,2023,Es. Extra-Alberghieri,Italiani,,,,riservato
017010,Bagolino,2023,Es. Extra-Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2023,Es. Extra-Alberghieri,Totale,,,,riservato
