codice_istat,comune,anno,sezione,nome_sezione,indicatore,valore
017002,Adro,2022,F,costruzioni,unita_locali,99
017002,Adro,2022,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,113
017002,Adro,2022,H,trasporto e magazzinaggio,unita_locali,10
017002,Adro,2022,I,attività dei servizi di alloggio e di ristorazione,unita_locali,41
017002,Adro,2022,J,servizi di informazione e comunicazione,unita_locali,11
017002,Adro,2022,K,attività finanziarie e assicurative,unita_locali,19
017002,Adro,2022,L,attività immobiliari,unita_locali,39
017002,Adro,2022,M,"attività professionali, scientifiche e tecniche",unita_locali,82
017002,Adro,2022,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,34
017002,Adro,2022,P,istruzione,unita_locali,9
017002,Adro,2022,Q,sanità e assistenza sociale,unita_locali,35
017002,Adro,2022,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,10
017002,Adro,2022,S,altre attività di servizi,unita_locali,33
017002,Adro,2023,C,attività manifatturiere,unita_locali,106
017002,Adro,2023,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",unita_locali,2
017002,Adro,2023,F,costruzioni,unita_locali,98
017002,Adro,2023,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",unita_locali,120
017002,Adro,2023,H,trasporto e magazzinaggio,unita_locali,11
017002,Adro,2023,I,attività dei servizi di alloggio e di ristorazione,unita_locali,40
017002,Adro,2023,J,servizi di informazione e comunicazione,unita_locali,10
017002,Adro,2023,K,attività finanziarie e assicurative,unita_locali,21
017002,Adro,2023,L,attività immobiliari,unita_locali,37
017002,Adro,2023,M,"attività professionali, scientifiche e tecniche",unita_locali,102
017002,Adro,2023,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",unita_locali,27
017002,Adro,2023,P,istruzione,unita_locali,7
017002,Adro,2023,Q,sanità e assistenza sociale,unita_locali,42
017002,Adro,2023,R,"attività artistiche, sportive, di intrattenimento e divertimento",unita_locali,11
017002,Adro,2023,S,altre attività di servizi,unita_locali,34
017003,Agnosine,2018,C,attività manifatturiere,addetti,427.5
017003,Agnosine,2018,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,14.6
017003,Agnosine,2018,F,costruzioni,addetti,41.0
017003,Agnosine,2018,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,50.9
017003,Agnosine,2018,H,trasporto e magazzinaggio,addetti,5.0
017003,Agnosine,2018,I,attività dei servizi di alloggio e di ristorazione,addetti,22.3
017003,Agnosine,2018,J,servizi di informazione e comunicazione,addetti,2.8
017003,Agnosine,2018,K,attività finanziarie e assicurative,addetti,9.0
017003,Agnosine,2018,L,attività immobiliari,addetti,17.9
017003,Agnosine,2018,M,"attività professionali, scientifiche e tecniche",addetti,13.0
017003,Agnosine,2018,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,20.3
017003,Agnosine,2018,Q,sanità e assistenza sociale,addetti,6.9
017003,Agnosine,2018,R,"attività artistiche, sportive, di intrattenimento e divertimento",addetti,4.2
017003,Agnosine,2018,S,altre attività di servizi,addetti,9.0
017003,Agnosine,2019,C,attività manifatturiere,addetti,430.5
017003,Agnosine,2019,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,0.0
017003,Agnosine,2019,F,costruzioni,addetti,40.7
017003,Agnosine,2019,G,"commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",addetti,37.5
017003,Agnosine,2019,H,trasporto e magazzinaggio,addetti,6.0
