territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",house robbery,HOUSEROB,5.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",infanticides,INFANTHOM,0.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intentional homicides,INTENHOM,0.70
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",intellectual property violations,INTPROP,8.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",kidnappings,KIDNAPP,4.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides of mafia,MAFIAHOM,0.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mafia criminal association,MAFIASS,0.20
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",manslaughter,MANSHOM,0.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",mass murder,MASSMURD,0.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",menaces,MENACE,154.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",money laundering,MONEYLAU,2.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",moped theft,MOPETHEF,53.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",motorcycle theft,MOTORTHEF,16.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",offences,OFFENCE,130.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",other crimes,OTHCRIM,838.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",pickpocketing,PICKTHEF,126.20
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",child pornography and possession of paedo-pornographic materials,PORNO,0.70
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",post office robbery,POSTROB,1.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",exploitation and abetting prostitution,PROSTI,4.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual violence,RAPE,10.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",sexual activity with a minor,RAPEUN18,1.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",receiving stolen goods,RECEIV,37.40
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides from road accident,ROADHOM,6.30
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",robberies,ROBBER,64.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",homicides for theft or robbery,ROBBHOM,0.10
