codice_istat,comune,anno,semestre,fascia,zona,link_zona,tipologia,stato,stato_prevalente,vendita_min,vendita_max,base_vendita,affitto_min,affitto_max,base_affitto
017001,Acquafredda,2014,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,360,450,lorda,1.4,1.6,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,260,330,lorda,1.0,1.2,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2014,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,1000,1350,lorda,2.9,3.6,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,350,435,lorda,1.3,1.4,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,250,320,lorda,0.9,1.1,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2015,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,970,1300,lorda,2.6,3.2,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,350,435,lorda,1.3,1.4,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,250,320,lorda,0.9,1.1,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2016,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,970,1300,lorda,2.6,3.2,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,350,435,lorda,1.3,1.4,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,250,320,lorda,0.9,1.1,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2017,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,970,1300,lorda,2.6,3.2,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,350,435,lorda,1.3,1.4,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,250,320,lorda,0.9,1.1,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2018,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,970,1300,lorda,2.6,3.2,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Magazzini,NORMALE,P,330,430,lorda,1.8,2.5,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Negozi,NORMALE,P,950,1200,lorda,5.0,6.3,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Posti auto coperti,NORMALE,P,350,435,lorda,1.3,1.4,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Posti auto scoperti,NORMALE,P,250,320,lorda,0.9,1.1,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Uffici,NORMALE,P,880,1150,lorda,3.1,4.7,netta
017001,Acquafredda,2019,2,B,B1,BS00000099,Ville e Villini,NORMALE,P,970,1300,lorda,2.6,3.2,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Abitazioni civili,NORMALE,P,850,1050,lorda,2.3,3.1,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Abitazioni civili,OTTIMO,,1050,1450,lorda,2.8,3.8,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Autorimesse,NORMALE,P,445,560,lorda,1.6,2.1,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Box,NORMALE,P,495,680,lorda,1.7,2.2,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Capannoni industriali,NORMALE,P,350,440,lorda,1.7,2.3,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Capannoni tipici,NORMALE,P,410,520,lorda,2.4,3.3,netta
017001,Acquafredda,2020,2,B,B1,BS00000099,Laboratori,NORMALE,P,470,560,lorda,2.8,3.5,netta
